x_from,y_from,x_to,y_to,dist,json
-73.97065,40.760887,-73.978531,40.760887,366.1,{'durations': [[0, 366.1], [267.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.978621, 40.760766], 'name': 'West 52nd Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.978621, 40.760766], 'name': 'West 52nd Street'}]}
-73.97065,40.760887,-73.999077,40.760887,756.6,{'durations': [[0, 756.6], [683.3, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.998938, 40.76108], 'name': 'West 42nd Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.998938, 40.76108], 'name': 'West 42nd Street'}]}
-73.97065,40.760887,-74.002159,40.760887,802.8,{'durations': [[0, 802.8], [761.5, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-74.002231, 40.760915], 'name': '12th Avenue'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-74.002231, 40.760915], 'name': '12th Avenue'}]}
-73.97065,40.760887,-73.979225,40.760887,349.4,{'durations': [[0, 349.4], [284.3, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.97915, 40.760989], 'name': 'West 52nd Street'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.97915, 40.760989], 'name': 'West 52nd Street'}]}
-73.97065,40.760887,-73.987267,40.760887,593.1,{'durations': [[0, 593.1], [458.2, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.98716, 40.760842], 'name': '8th Avenue'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-73.98716, 40.760842], 'name': '8th Avenue'}]}
-73.97065,40.760887,-74.001656,40.760887,828.7,{'durations': [[0, 828.7], [705.7, 0]], 'code': 'Ok', 'sources': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-74.001881, 40.76098], 'name': '12th Avenue'}], 'destinations': [{'location': [-73.97076, 40.760739], 'name': 'East 56th Street'}, {'location': [-74.001881, 40.76098], 'name': '12th Avenue'}]}
-73.952705,40.780819,-73.97065,40.780819,397.2,{'durations': [[0, 397.2], [372.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.971577, 40.781021], 'name': '79th Street Transverse Road'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.971577, 40.781021], 'name': '79th Street Transverse Road'}]}
-73.952705,40.780819,-73.978241,40.780819,649.4,{'durations': [[0, 649.4], [556.9, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.978391, 40.780614], 'name': 'West 76th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.978391, 40.780614], 'name': 'West 76th Street'}]}
-73.952705,40.780819,-73.980408,40.780819,608.9,{'durations': [[0, 608.9], [665, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.980506, 40.780682], 'name': 'West 75th Street'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.980506, 40.780682], 'name': 'West 75th Street'}]}
-73.952705,40.780819,-73.991776,40.780819,693.9,{'durations': [[0, 693.9], [882.6, 0]], 'code': 'Ok', 'sources': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.988716, 40.779527], 'name': 'Joe DiMaggio Highway'}], 'destinations': [{'location': [-73.952711, 40.780811], 'name': 'East 89th Street'}, {'location': [-73.988716, 40.779527], 'name': 'Joe DiMaggio Highway'}]}
